Albany	Albany Municipal Airport	660-726-3935	Albany Municipal Airport	MO	252	
Farmington	Farmington Regional Airport	573-756-4502, 573-631-1852	Farmington Regional Airport	MO	960	csitzes@farmington-mo
Festus	Festus Airport Services / CAEE	636-937-2228	Festus Memorial Airport	MO	750	info@festusairport.net
Fort Leonard Wood	Waynesville-St. Robert Cities Aviation	573-329-4216	Waynesville-St. Robert Regional Airport-Forney Field	MO	2130	
Fredericktown	Fredericktown Regional Airport	573-783-4040	A Paul Vance Fredericktown Regional Airport	MO	188	
Fulton	City of Fulton	573-642-6222, 573-592-3161	Elton Hensley Memorial Airport	MO	1020	airport@fultonmo.org
Grain Valley	Grain Valley Airport Corp.	816-229-8868	East Kansas City Airport	MO	990	gvairport@comcast.net
Hannibal	Barron Aviation	573-221-3230	Hannibal Regional Airport	MO	492	
Harrisonville	City of Harrisonville	816-380-5039	Lawrence Smith Memorial Airport	MO	540	
Higginsville	City of Higginsville	660-584-3339	Higginsville Industrial Municipal Airport	MO	276	
Houston	City of Houston	417-967-3348	Houston Memorial Airport	MO	296	
Jefferson City	Jefferson City Flying Service	573-636-5118	Jefferson City Memorial Airport	MO	2460	mail@jcfs.net
Joplin	Alpha Air Center	417-623-3113	Joplin Regional Airport	MO	2100	info@alphaaircenter.com
Joplin	Mizzou Aviation	417-623-1331	Joplin Regional Airport	MO	2100	pam@mizzouaviation.com
Kaiser/Lake Ozark	 City of Osage Beach (FBO)	573-348-5251	Lee C Fine Memorial Airport	MO	360	
Kansas City	Signature Flight Support	816-842-8484	Charles B Wheeler Downtown Airport	MO	5850	MKC@signatureflight.com
Kansas City	Atlantic Aviation	816-949-8900	Charles B Wheeler Downtown Airport	MO	5850	Kyle.Eiserer@atlanticaviation.com
Kansas City	City of Kansas City	816-859-7600, 816-289-2718	Charles B Wheeler Downtown Airport	MO	5850	lezley.mix@kcmo.org
Kansas City	Signature Flight Support	816-243-6440	Kansas City International Airport	MO	11160	MCI@signatureflight.com
Kennett	City of Kennett (FBO)	573-888-1339, 573-888-5846	Kennett Memorial Airport	MO	1380	kennettmemorial@gmail.com
Kirksville	Kirksville Regional Airport	660-665-5020	Kirksville Regional Airport	MO	488	
Lamar	MBMB	417-483-7729	Lamar Municipal Airport	MO	408	
Lebanon	City of Lebanon (FBO)	417-532-7879	Floyd W Jones Lebanon Airport	MO	1050	sshore@lebanonmo.org
Lee's Summit	Lee's Summit Municipal Airport	816-969-1186, 816-969-1180	Lee's Summit Municipal Airport	MO	4320	airport@cityofls.net
Liberty	Aire Kare	816-781-7194	Roosterville Airport	MO	268	
Linn	State Technical College of Missouri	573-897-5000	State Technical College of Missouri Airport	MO	116	dennis.sallin@statetechmo.edu
Macon	Macon-Fower Memorial Airport	660-385-6208	Macon-Fower Memorial Airport	MO	260	
Malden	First Flight	573-776-4406	Malden Regional Airport	MO	750	
Marshall	Marshall Memorial Municipal Airport	660-886-3320	Marshall Memorial Municipal Airport	MO	420	
Maryville	City of Maryville	660-562-8001	Northwest Missouri Regional Airport	MO	1050	
Memphis	Memphis Memorial Airport	660-465-7285	Memphis Memorial Airport	MO	168	
Mexico	Mexico Memorial Airport	573-581-0162	Mexico Memorial Airport	MO	1020	
Miller	Plane Cents Aviation	417-452-3831	Kingsley Airfield	MO	2850	
Moberly	Bradley Airport	660-263-4835	Omar N Bradley Airport	MO	630	
Monett	Monett Municipal Airport	417-476-5112	Monett Regional Airport	MO	1500	
Monroe City	Monroe City Regional Airport	573-735-4845	Cpt Ben Smith Airfield - Monroe City	MO	156	
Mosby	Midwest National Air Center	816-407-3390, 816-718-0968	Midwest National Air Center Airport	MO	990	info@midwestnationalaircenter.com
Mountain View	City of Mountain View (FBO)	417-934-6806	Mountain View Airport	MO	61	
Neosho	Neosho Hugh Robinson Airport	417-451-8098	Neosho Hugh Robinson Airport	MO	224	airportmanager@neoshomo.org
Nevada	Aero B Service	417-448-5107, 417-448-4488	Nevada Municipal Airport	MO	292	
New Madrid	Hampton's Flying Service	573-934-3734	County Memorial Airport	MO	1410	
Osage Beach	 City of Osage Beach (FBO)	573-348-4469	Grand Glaize-Osage Beach Airport	MO	508	
Perryville	Perryville Municipal Airport	618-978-1404	Perryville Regional Airport	MO	1530	
Piedmont	City of Piedmont (self-serve fuel)	573-223-4528	Piedmont Municipal Airport	MO	104	
Poplar Bluff	 City of Poplar Bluff	573-686-8669	Poplar Bluff Municipal Airport	MO	1380	ldonze@pbcity.org
Potosi	Washington County Airport	573-438-3582	Washington County Airport	MO	104	
Rolla/Vichy	Rolla National Airport	573-299-4498	Rolla National Airport	MO	2910	
Salem	City of Salem	573-729-5900	Salem Memorial Airport	MO	348	
Sedalia	Sedalia Regional Airport	660-826-4128, 660-851-7650	Sedalia Regional Airport	MO	900	ebowers@cityofsedalia.com
Sikeston	City of Sikeston, FBO	573-471-2037	Sikeston Memorial Municipal Airport	MO	484	
Springfield	Midwest Premier SGF Aviation	417-868-0590	Springfield-Branson National Airport	MO	3870	ga@flyspringfield.com
Springfield	 Springfield Flying Service	417-862-2418	Downtown Airport	MO	780	frontdesk@fly3dw.com
St Charles	Commemorative Air Force, Missouri Wing	636-250-4515	St Charles County Smartt Airport	MO	4980	
St Charles	St. Charles Flying Service	800-447-6066, 636-250-4500	St Charles County Smartt Airport	MO	4980	stcharlesflying@msn.com
St Charles	Skylink Aviation	636-250-4121	St Charles County Smartt Airport	MO	4980	
St Joseph	Express Flight, Inc.	816-233-3444	Rosecrans Memorial Airport	MO	1530	
St Louis	TAC Air	636-532-8882	Spirit of St Louis Airport	MO	7950	susfbo@tacair.com
St Louis	 Aero Charter, Inc.	800-535-1445, 636-449-5150	Spirit of St Louis Airport	MO	7950	FBO@aerocharter.com
St Louis	 Million Air St. Louis	636-532-0404	Spirit of St Louis Airport	MO	7950	chayden@millionair-sus
St Louis	Signature Flight Support	314-731-7111	St Louis Lambert International Airport	MO	15960	STL@signatureflight.com
St Louis	ATS JetCenter	314-895-8788	St Louis Lambert International Airport	MO	15960	
St Louis	Creve Coeur Airport	314-878-6400	Creve Coeur Airport	MO	3360	
Stockton	Stockton Municipal Airport	417-276-5210	Stockton Municipal Airport	MO	92	
Sullivan	Sullivan Regional Airport	573-468-2631	Sullivan Regional Airport	MO	1500	
Tarkio	Wing Nuts Flying Circus Aviation	816-244-6927, 660-736-4322	Gould Peterson Municipal Airport	MO	380	wingnutsflyingcircus@yahoo.com
Trenton	Trenton Aviation	660-359-2013	Trenton Municipal Airport	MO	196	
Versailles	Anna Aviation, LLC	573-372-1087	Roy Otten Memorial Airfield	MO	660	
Warrensburg	 UCM Aviation	660-543-4921, 660-543-4947	Skyhaven Airport	MO	2430	dietz@ucmo.edu
Warsaw	Warsaw Municipal Airport	660-438-5522, 660-723-1944	Warsaw Municipal Airport	MO	256	acctpay@welcometowarsaw.com
Washington	Washington Aviation Inc.	636-433-5454	Washington Regional Airport	MO	1770	
West Plains	West Plains Regional Airport	417-257-1530	West Plains Regional Airport	MO	212	
Willow Springs	Willow Springs Memorial Airport	417-469-2107	Willow Springs Memorial Airport	MO	312	Albany	Albany Municipal Airport	660-726-3935	Albany Municipal Airport	MO	252	
Aurora	Aurora Aviation	417-678-3000	Jerry Sumners Sr. Aurora Municipal Airport	MO	900	
Ava	City of Ava, Missouri	417-840-2301, 417-683-5516	Ava Bill Martin Memorial Airport	MO	372	dmkdavidson@gmail.com
Bolivar	Service Oriented Aviation Readiness (S.O.A.R.)	417-777-6800	Bolivar Municipal Airport	MO	1050	office@soar-m
Bonne Terre	Bonne Terre Airport	573-454-1266	Bonne Terre Municipal Airport	MO	62	bonneterreairport@gmail.com
Boonville	Tig-Air Aviation	660-882-7441	Jesse Viertel Memorial Airport	MO	870	
Bowling Green	City of Bowling Green	573-324-5451	Bowling Green Municipal Airport	MO	152	
Branson	Branson Jet Center	417-334-8234	Branson Airport	MO	460	info@bransonjetcenter.com
Branson	M. Graham Clark Downtown Airport	417-332-1848	M Graham Clark Downtown Airport	MO	930	
Branson West	City of Branson West	417-272-3313, 417-272-3921	Branson West Municipal Airport - Emerson Field	MO	252	bransonwest@tri-lakes
Brookfield	North Central Missouri Regional Airport	660-258-7317, 660-734-2505	North Central Missouri Regional Airport	MO	136	ncmra@shighway.com
Butler	Skydive Kansas City	816-529-5867	Butler Memorial Airport	MO	532	
Cabool	Cabool Memorial Airport	417-962-3136	Cabool Memorial Airport	MO	268	
Camdenton	Lake Aviation Center	573-346-0300	Camdenton Memorial-Lake Regional Airport	MO	810	corey@lakeaviationcenter.com
Cameron	Cameron Memorial Airport	816-284-3136	Cameron Memorial Airport	MO	540	airport@cameronmo.com
Cape Girardeau	 Cape Aviation	573-335-6632	Cape Girardeau Regional Airport	MO	2280	dirwin@cityofcapegirardeau.org
Carrollton	Carrollton Memorial Airport	660-542-1414	Carrollton Memorial Airport	MO	340	
Caruthersville	Dyersburg Avionics of Caruthersville	573-333-4296	Caruthersville Memorial Airport	MO	288	
Cassville	City of Cassville	417-847-4441	Cassville Municipal Airport	MO	196	
Chillicothe	Chillicothe Municipal Airport	660-646-5270	Chillicothe Municipal Airport	MO	480	
Clinton	Clinton Memorial Airport	660-885-8889	Clinton Regional Airport	MO	840	
Columbia	Central Missouri Aviation	573-443-1576	Columbia Regional Airport	MO	1530	
Cuba	Cuba Municipal Airport (Mosby Field)	573-885-2479	Cuba Municipal Airport	MO	284	
Dearborn	Triple R Air	816-935-9156	Triple R Airport	MO	34	
Dexter	Dexter Municipal Airport	573-624-4377	Dexter Municipal Airport	MO	720	
Eldon	City of Eldon (FBO)	573-392-2291	Eldon Model Airpark	MO	840	
Farmington	Farmington Regional Airport	573-756-4502, 573-631-1852	Farmington Regional Airport	MO	960	csitzes@farmington-mo
Festus	Festus Airport Services / CAEE	636-937-2228	Festus Memorial Airport	MO	750	info@festusairport.net
Fort Leonard Wood	Waynesville-St. Robert Cities Aviation	573-329-4216	Waynesville-St. Robert Regional Airport-Forney Field	MO	2130	
Fredericktown	Fredericktown Regional Airport	573-783-4040	A Paul Vance Fredericktown Regional Airport	MO	188	
Fulton	City of Fulton	573-642-6222, 573-592-3161	Elton Hensley Memorial Airport	MO	1020	airport@fultonmo.org
Grain Valley	Grain Valley Airport Corp.	816-229-8868	East Kansas City Airport	MO	990	gvairport@comcast.net
Hannibal	Barron Aviation	573-221-3230	Hannibal Regional Airport	MO	492	
Harrisonville	City of Harrisonville	816-380-5039	Lawrence Smith Memorial Airport	MO	540	
Higginsville	City of Higginsville	660-584-3339	Higginsville Industrial Municipal Airport	MO	276	
Houston	City of Houston	417-967-3348	Houston Memorial Airport	MO	296	
Jefferson City	Jefferson City Flying Service	573-636-5118	Jefferson City Memorial Airport	MO	2460	mail@jcfs.net
Joplin	Alpha Air Center	417-623-3113	Joplin Regional Airport	MO	2100	info@alphaaircenter.com
Joplin	Mizzou Aviation	417-623-1331	Joplin Regional Airport	MO	2100	pam@mizzouaviation.com
Kaiser/Lake Ozark	 City of Osage Beach (FBO)	573-348-5251	Lee C Fine Memorial Airport	MO	360	
Kansas City	Signature Flight Support	816-842-8484	Charles B Wheeler Downtown Airport	MO	5850	MKC@signatureflight.com
Kansas City	Atlantic Aviation	816-949-8900	Charles B Wheeler Downtown Airport	MO	5850	Kyle.Eiserer@atlanticaviation.com
Kansas City	City of Kansas City	816-859-7600, 816-289-2718	Charles B Wheeler Downtown Airport	MO	5850	lezley.mix@kcmo.org
Kansas City	Signature Flight Support	816-243-6440	Kansas City International Airport	MO	11160	MCI@signatureflight.com
Kennett	City of Kennett (FBO)	573-888-1339, 573-888-5846	Kennett Memorial Airport	MO	1380	kennettmemorial@gmail.com
Kirksville	Kirksville Regional Airport	660-665-5020	Kirksville Regional Airport	MO	488	
Lamar	MBMB	417-483-7729	Lamar Municipal Airport	MO	408	
Lebanon	City of Lebanon (FBO)	417-532-7879	Floyd W Jones Lebanon Airport	MO	1050	sshore@lebanonmo.org
Lee's Summit	Lee's Summit Municipal Airport	816-969-1186, 816-969-1180	Lee's Summit Municipal Airport	MO	4320	airport@cityofls.net
Liberty	Aire Kare	816-781-7194	Roosterville Airport	MO	268	
Linn	State Technical College of Missouri	573-897-5000	State Technical College of Missouri Airport	MO	116	dennis.sallin@statetechmo.edu
Macon	Macon-Fower Memorial Airport	660-385-6208	Macon-Fower Memorial Airport	MO	260	
Malden	First Flight	573-776-4406	Malden Regional Airport	MO	750	
Marshall	Marshall Memorial Municipal Airport	660-886-3320	Marshall Memorial Municipal Airport	MO	420	
Maryville	City of Maryville	660-562-8001	Northwest Missouri Regional Airport	MO	1050	
Memphis	Memphis Memorial Airport	660-465-7285	Memphis Memorial Airport	MO	168	
Mexico	Mexico Memorial Airport	573-581-0162	Mexico Memorial Airport	MO	1020	
Miller	Plane Cents Aviation	417-452-3831	Kingsley Airfield	MO	2850	
Moberly	Bradley Airport	660-263-4835	Omar N Bradley Airport	MO	630	
Monett	Monett Municipal Airport	417-476-5112	Monett Regional Airport	MO	1500	
Monroe City	Monroe City Regional Airport	573-735-4845	Cpt Ben Smith Airfield - Monroe City	MO	156	
Mosby	Midwest National Air Center	816-407-3390, 816-718-0968	Midwest National Air Center Airport	MO	990	info@midwestnationalaircenter.com
Mountain View	City of Mountain View (FBO)	417-934-6806	Mountain View Airport	MO	61	
Neosho	Neosho Hugh Robinson Airport	417-451-8098	Neosho Hugh Robinson Airport	MO	224	airportmanager@neoshomo.org
Nevada	Aero B Service	417-448-5107, 417-448-4488	Nevada Municipal Airport	MO	292	
New Madrid	Hampton's Flying Service	573-934-3734	County Memorial Airport	MO	1410	
Osage Beach	 City of Osage Beach (FBO)	573-348-4469	Grand Glaize-Osage Beach Airport	MO	508	
Perryville	Perryville Municipal Airport	618-978-1404	Perryville Regional Airport	MO	1530	
Piedmont	City of Piedmont (self-serve fuel)	573-223-4528	Piedmont Municipal Airport	MO	104	
Poplar Bluff	 City of Poplar Bluff	573-686-8669	Poplar Bluff Municipal Airport	MO	1380	ldonze@pbcity.org
Potosi	Washington County Airport	573-438-3582	Washington County Airport	MO	104	
Rolla/Vichy	Rolla National Airport	573-299-4498	Rolla National Airport	MO	2910	
Salem	City of Salem	573-729-5900	Salem Memorial Airport	MO	348	
Sedalia	Sedalia Regional Airport	660-826-4128, 660-851-7650	Sedalia Regional Airport	MO	900	ebowers@cityofsedalia.com
Sikeston	City of Sikeston, FBO	573-471-2037	Sikeston Memorial Municipal Airport	MO	484	
Springfield	Midwest Premier SGF Aviation	417-868-0590	Springfield-Branson National Airport	MO	3870	ga@flyspringfield.com
Springfield	 Springfield Flying Service	417-862-2418	Downtown Airport	MO	780	frontdesk@fly3dw.com
St Charles	Commemorative Air Force, Missouri Wing	636-250-4515	St Charles County Smartt Airport	MO	4980	
St Charles	St. Charles Flying Service	800-447-6066, 636-250-4500	St Charles County Smartt Airport	MO	4980	stcharlesflying@msn.com
St Charles	Skylink Aviation	636-250-4121	St Charles County Smartt Airport	MO	4980	
St Joseph	Express Flight, Inc.	816-233-3444	Rosecrans Memorial Airport	MO	1530	
St Louis	TAC Air	636-532-8882	Spirit of St Louis Airport	MO	7950	susfbo@tacair.com
St Louis	 Aero Charter, Inc.	800-535-1445, 636-449-5150	Spirit of St Louis Airport	MO	7950	FBO@aerocharter.com
St Louis	 Million Air St. Louis	636-532-0404	Spirit of St Louis Airport	MO	7950	chayden@millionair-sus
St Louis	Signature Flight Support	314-731-7111	St Louis Lambert International Airport	MO	15960	STL@signatureflight.com
St Louis	ATS JetCenter	314-895-8788	St Louis Lambert International Airport	MO	15960	
St Louis	Creve Coeur Airport	314-878-6400	Creve Coeur Airport	MO	3360	
Stockton	Stockton Municipal Airport	417-276-5210	Stockton Municipal Airport	MO	92	
Sullivan	Sullivan Regional Airport	573-468-2631	Sullivan Regional Airport	MO	1500	
Tarkio	Wing Nuts Flying Circus Aviation	816-244-6927, 660-736-4322	Gould Peterson Municipal Airport	MO	380	wingnutsflyingcircus@yahoo.com
Trenton	Trenton Aviation	660-359-2013	Trenton Municipal Airport	MO	196	
Versailles	Anna Aviation, LLC	573-372-1087	Roy Otten Memorial Airfield	MO	660	
Warrensburg	 UCM Aviation	660-543-4921, 660-543-4947	Skyhaven Airport	MO	2430	dietz@ucmo.edu
Warsaw	Warsaw Municipal Airport	660-438-5522, 660-723-1944	Warsaw Municipal Airport	MO	256	acctpay@welcometowarsaw.com
Washington	Washington Aviation Inc.	636-433-5454	Washington Regional Airport	MO	1770	
West Plains	West Plains Regional Airport	417-257-1530	West Plains Regional Airport	MO	212	
Willow Springs	Willow Springs Memorial Airport	417-469-2107	Willow Springs Memorial Airport	MO	312	
