State	City	Airport Name	Airport Code	FBO Name	Phone Numbers(s)	*Has Fees?	*Fee Categorization	If other, how do they categorize?	Landing Fee	Ramp Fee	Tie Down Fee	Facility Fee	Call Out Fee	Hangar Fee	How often do fees change?	*Fees waived by fuel purchase?	If so, how much fuel?	Who did you talk to?	*Call Date	*Quality of Info?	*Do they have a fee sheet?	If so, what's the link? (double check hangar/call out fees)	Additional Info	2nd Call Date
UT	Salt Lake City	Salt Lake City International Airport	KSLC	TAC Air	800-752-5382, 801-359-2085	Yes	Make and Model		$50										7/25/2017					7/26/2017
UT	Escalante	Escalante Municipal Airport	1L7	Sphere One Aviation	435-586-4504	Yes	Square Footage		.75 per 1000 lbs 	0	$10/night	Bathrooms: $125, oxygen in plane: $40 ($25 for individual bottles), catering cost depends on food bought	18:00 - 23:59: $75, 0:00 - 8:00: $125	Per night: $95, Long term: $.35/square footage of aircraft 	Always subject to change	No	AV Gas: $5.60, Jet A: $4.60, Jet A with Prist: $4.65	JJ McGuarie	7/11/2017	Good	No			
UT	Logan	Logan-Cache Airport	KLGU	 Leading Edge Aviation	435-752-5955, 435-232-4266, 208-852-6259	Yes	Weight	 	$250 for large plane	midsize jet: 100, large jet: 250	$15/month, 10/week	0	$50	Based off of height and wingspan, charge ranges from $100-$250	Unusulal	Yes	Jet Fuel: 4.12, AV Gas: $5.30	Jake Longherst	7/18/2017	Good	No			
UT	Moab	Canyonlands Field Airport	KCNY	 Redtail Air, Inc	435-259-7421	Yes	Weight		0-10000: $60, 10000-25000 lbs: $250	0	$5/night	0	$125	Available on apt basis, $50/night(small) and up for larger 	Rarely (reassess year)	Yes	100 low led $5.29 Jet A with prist: $4.65	Amy 	7/22/2017	Good	No			
UT	Wendover	Wendover Airport	KENV	Wendover Airport	435-665-2308	Yes	Weight		0	0-50000: $5/night, 0-50000: $25/week, 0-50000: $50/month, 50000-999999: $400/month	0	0	18:30 - 8:00: $45	$40-$150 sb	Yearly 	Yes	AV Gas: $4.95, Jet A without prist: $3.25, Jet A with prist: $3.30	James Morris	7/27/2017	Dope AF(Fee Sheet Received)	Yes			
UT	Delta	Delta Municipal Airport	KDTA	 Delta City	435-864-2759, 435-979-0466	Yes			0	0	0	0	Self serve airport so no call out assistance 	Monthly fee of $80 but hangers are for long term use so they are hard to come by.	Never	No	Jet A: $4.35/gallon, AV Turbine Fuel: $2.98	Jody Anderson 	7/11/2017	Good	No			
UT	Ogden	Ogden-Hinckley Airport	KOGD	Kemp Jet Service	801-627-0040	Yes													7/22/2017		Yes		Man I talked to didn't have time to answer questions both times I called so he just sent me the fee sheet!	7/24/2017
UT	Blanding	Blanding Municipal Airport	KBDG	Eagle Air	435-678-3222										never	No								
UT	Duchesne	Duchesne Municipal Airport	U69	City of Duchesne	435-738-2464														7/11/2017					7/24/2017
UT	Heber	Heber City Municipal Airport - Russ McDonald Field	36U	OK3 AIR	435-654-3962																		Gave me an invalid email and did not respond later on	
UT	Kanab	Kanab Municipal Airport	KKNB	City of Kanab (FBO)	435-644-2299														7/18/2017					7/24/2017
UT	Loa	Wayne Wonderland Airport	38U	Wonderland Airport	435-836-2826														7/18/2017					
UT	Manti	Manti-Ephraim Airport	41U	Manti-Ephraim Airport	435-283-4631														7/22/2017					
UT	Monticello	Monticello Airport	U64	Monticello Airport	435-587-2271														7/24/2017					
UT	Price	Carbon County Regional Airport/Buck Davis Field	KPUC	 Redtail Air, Inc	435-637-9556														7/24/2017					
UT	Roosevelt	Roosevelt Municipal Airport	74V	Integrity Air Service	435-722-4741																			
UT	Salt Lake City	Salt Lake City International Airport	KSLC	Atlantic Aviation - SLC	385-715-7192				single engine:$15, heavy jet: $600	0	single engine: $15, heavy jet: $200	10	0	$100-$1100 nightly fee	Fuel changes every Tuesday  and normals fees rarely	Yes	Neg  5.50, positive 5.59, AV Gas $6.23 (including tax)	Kristy Kimble		Good	No	She was very interested and said she could set something up for my "class"		
UT	Salt Lake City	South Valley Regional Airport	U42	South Valley Regional Airport	801-561-0420														7/26/2017				the guy who know knows the info is on vacation	
UT	Spanish Fork	Spanish Fork Airport-Springville-Woodhouse Field	U77	Utah Aviation Services Inc.	801-798-9888														7/26/2017				The mailbox is full	
UT	Tooele	Bolinder Field-Tooele Valley Airport	KTVY	Salt Lake City Dept. of Airports	801-575-2401																		Lunch guy	
