State	City	Airport Name	Airport Code	FBO Name	Phone Numbers(s)	*Has Fees?	*Fee Categorization	If other, how do they categorize?	Landing Fee	Ramp Fee	Tie Down Fee	Facility Fee	Call Out Fee	Hangar Fee	Other Fee	How often do fees change?	*Fees waived by fuel purchase?	If so, how much fuel?	Who did you talk to?	*Call Date	*Quality of Info?	*Do they have a fee sheet?	If so, what's the link? (double check hangar/call out fees)	Additional Info
TX	Jacksonville	Cherokee County Airport	KJSO	Cherokee County Airport	903-586-8219	No								115-175/month							Good			
TX	Perryton	Perryton Ochiltree County Airport	KPYX	Kelly & Company Aviation	806-435-4226	No														8/28/2017	Good			Hangars are all privately owned
TX	Dallas	Air Park-Dallas Airport	F69	Sprinx Aviation	214-909-5999	No								closed: 400/month, open: 200/month						8/28/2017	Good			It's technically a private airport that's open to the public, so they don't have any fees
TX	Vernon	Wilbarger County Airport	F05	Wilbarger County Airport	940-552-2182, 940-839-6365	No														8/25/2017	Good			The guy who answered was very terse. I'm starting to fall into a southern accent during my calls lol
TX	Lockhart	Lockhart Municipal Airport	50R	Martin & Martin Aviation	512-376-9608	No	Flat Rate		$0	$0	$0	$0	$0	$160 a month single engine					Troy		Good			
TX	Gatesville	Gatesville Municipal Airport	KGOP	City of Gatesville	254-865-8951	No	Square Footage		$0	$0	$0	$0	$0	$125 large, $75 regular						8/25	Good			
TX	Lamesa	Lamesa Municipal Airport	2F5	City of Lamesa (self-serve fuel)	806-759-9270, 806-759-7747	No														8/25/2017	Good			It's basically just a runway with self-serve fuel
TX	Giddings	Giddings-Lee County Airport	KGYB	Sills Aviation Services LLC	979-542-6081	No	Flat Rate		$0	$0	$0	$0	$0	$0						8/23	Good			
TX	Navasota	Navasota Municipal Airport	60R	Spinner Aviation	979-429-3835	No	Flat Rate		$0	$0	$20/night	$0					Yes	Fill up		8/23	Good			
TX	Palestine	Palestine Municipal Airport	KPSN	Palestine Jet Center, LLC	903-723-0111	No	Square Footage		$0	$0	$0	$0	17:00 - 9:00: $25	$300 per month at least, goes up for larger aircrafts			No			8/23	Good			
TX	Henderson	Rusk County Airport	KRFI	Rusk County Airport	903-657-7081	No	Flat Rate		$0	$0	$0	$0	$0	$100 month, $175 t hanger, $200 larger hanger, $250 twin engine hanger 						8/23	Good			
TX	Slaton	Slaton Municipal Airport	F49	Neal Aircraft	806-828-5892	No	Flat Rate		$0	$0	$0	$0	$0	$275 a month t hanger						8/23	Good			
TX	Dalhart	Dalhart Municipal Airport	KDHT	Bailey Flying Service, Inc.	806-244-6511	No														8/23/2017	Good			Not a real FBO, they have fuel as a courtesy, but they don't really do any FBO stuff
TX	Dumas	Moore County Airport	KDUX	Moore County Airport	806-935-6995	No	Flat Rate		$0	$0	$10/night	$0	$0	$50 a night for citatation			Yes	Any		8/23	Good			
TX	Eastland	Eastland Municipal Airport	KETN	Eastland Aero	254-629-1588, 254-488-1055	No			$0	$0	$0	$0	$0						Body	8/22				etnaero@pxol.net
TX	Lampasas	Lampasas Airport	KLZZ	 City of Lampasas (FBO)	512-556-6640, 512-556-6831	No	Flat Rate		$0	$0	$30/month	$0	$0	$120-$200						8/22	Good			
TX	Seminole	Gaines County Airport	KGNC	Aero Clinic, Inc.	432-758-6455	No			$0	$0	$0	$0	$50	All Hangers Booked						8/22	Good			
TX	Eagle Lake	Eagle Lake Airport	KELA	Eagle Lake Aviation	713-502-4064	No	Square Footage		$0	$0	$0	$0	$0	$115  smallest, $230 1135 square feet,  $315 1575 square feet, $285 1575 square feet older hanger						8/22	Good			
TX	Borger	Hutchinson County Airport	KBGD	Hutchinson County Airport	806-273-0137	No	Engine Type		$0	$0	$0	$0	$150	$25 sing  $30 twin $40 turbo a night	GPU fee $20	Twice a year fees change	No			8/22	Good			
TX	Llano	Llano Municipal Airport	KAQO	City of Llano	325-247-5635, 325-247-4158	No			$0	$0	7 day free + $3/day	$0	$0	$75 to $125		Rarely change at all				8/22	Good			
TX	Sweetwater	Avenger Field Airport	KSWW	Avenger Aviation Services	325-235-8478	No			$0	$0	$0	$0	$0	$75 t hanger, $800 consert hanger, $450 exutive hanger, $100 common hanger						8/22	Good			varries on size of aircraft
TX	Baytown	Baytown Airport	KHPY	 Raceco Inc.	281-421-1671, 713-303-8638	No														2017-07-06				
TX	Falfurrias	Brooks County Airport	KBKS	Mabo, Inc.	361-325-2909	No														8/17	Good			jgbcosby@gmail.com IS VERY INTRESTED
TX	Littlefield	Littlefield Taylor Brown Municipal Airport	KLIU	Brown Flying Service	806-777-5030	No														8/17	Good			
TX	Brownfield	Terry County Airport	KBFE	Terry County Airport	806-543-9840	No														8/17	Unreliable Data			
TX	Clifton	Clifton Municipal Airport/Isenhower Field	7F7	Clifton Aero	254-675-3771	No													Sean	8/17	Good			
TX	Floydada	Floydada Municipal Airport	41F	Probasco Flying Service	806-983-2314	No														8/17	Good			Hangers rented by the month
TX	Liberty	Liberty Municipal Airport	T78	Liberty Municipal Airport	281-660-2337, 936-336-3684	No														8/17	Good			No fee for tie down if they are there for a few days
TX	Winnie/Stowell	Chambers County-Winnie Stowell Airport	T90	Chambers County-Winnie Stowell Airport	409-267-2719	No													Kelly	8/17	Good			
TX	Tulia	City of Tulia/Swisher County Municipal Airport	I06	City of Tulia (FBO)	806-995-3504	No								100/month							Good			"I've never had anyone ask for fees before"
TX	Wills Point	Van Zandt County Regional Airport	76F	Van Zandt County Regional Airport	903-873-3381, 214-803-5621	No															Good			
TX	Wharton	Wharton Regional Airport	KARM	City of Wharton	979-532-3210	No															Good			
TX	Mexia	Mexia-Limestone County Airport	KLXY	Trim-Aire Aviation	254-562-2857	No										Never	Yes	They always encorage people to buy feul		8/16	Good			
TX	Quanah	Quanah Municipal Airport	F01	Quanah Municipal Airport	970-219-6631	No														8/16	Good			
TX	Vega	Oldham County Airport	E52	Oldham County Airport	806-267-2722	No														8/16	Good			Hangers are locally owned
TX	Edinburg	South Texas International Airport at Edinburg	KEBG	 City of Edinburg	956-522-3580, 956-292-2047	No								Yearly Lease Only, around 10c per square foot per month in the old 19c in the new						8/16	Good			She mentioned the Transportation Reaserch Board had a lot of great information on this sort of stuff
TX	Wellington	Marian Airpark	F06	City of Wellington	806-447-2544	No														8/16				Nothing is avalible for tie-down
TX	Refugio	Rooke Field Airport	KRFG	VanAir Aviation	361-526-4241	No														8/16	Good			Fuel is self serve, tiny airport
TX	Panhandle	Panhandle-Carson County Airport	T45	Panhandle/Carson County Airport	806-537-3517	No															Good			Hangars aren't open to the public
TX	Rockdale	H H Coffield Regional Airport	KRCK	City of Rockdale	512-446-2511	No								100/month							Good			Really small airport, they just get 1 or 2 seat planes.
TX	San Saba	San Saba County Municipal Airport	81R	San Saba County Municipal Airport	325-372-3380	No															Good			The airport is unmanned
TX	Eldorado	Eldorado Airport	27R	Schleicher County Airport	325-650-9553	No														8/15/2017	Good			hangar for $1000/year, but they aren't open to the public
TX	Kress	Joe Vaughn Spraying Airport	29F	Joe Vaughn Spraying	806-684-2732	No											No			8/15/2017	Good	No		No fees, they're a small dirt runway
TX	Bishop	Bishop Municipal Airport	07R	Bishop Airport	361-595-5382	No														8/5	Unreliable Data			The city may have a fee but the airport doesn't. The person who awnsered the phone was the wife of a piolet who used to fly into bishop.....
TX	Munday	Munday Municipal Airport	37F	Petty Flying Service	940-422-4511	No													I don't know but she was very very soft spoken and quiet	8/15	Good			
TX	Shamrock	Shamrock Municipal Airport	2F1	City of Shamrock	806-256-3281	No														8/15	Unreliable Data			
TX	Eagle Pass	Maverick County Memorial International Airport	5T9	Bravo Aero Service	830-773-9636	No														8/15	Unreliable Data			
TX	Presidio	Presidio Lely International Airport	KPRS	Presidio County	832-588-8888, 432-229-2514	No														8/15	Good			
TX	Wheeler	Wheeler Municipal Airport	T59	City of Wheeler	806-826-3222	No														8/15	Good	No		
TX	Austin	Austin-Bergstrom International Airport	KAUS	Signature Flight Support	512-530-5451	Yes	Engine Type	Single engine, truboprops light jets			$30-$660		0				Yes	10 gallons to 460 gallons		2017-07-06		No		
TX	Arlington	Arlington Municipal Airport	KGKY	Harrison Aviation	817-557-0350	Yes	Engine Type					piston single: $10	0	$25/night piston aircraft, Learjet $150/night			Yes	Cost variable depending on plane size		2017-07-06		No		
TX	Angleton/Lake Jackson	Texas Gulf Coast Regional Airport	KLBX	Texas Gulf Coast Regional Airport (FBO)	979-849-5755	Yes	Engine Type	piston single: $10, piston multi: $20					$95	$25 nightly fee for inside hanger, $10 on the ramp. Twin engine $50, overnight outside $20			Yes	First night free w fuel purchase		2017-07-06		Yes	http://www.flylbx.org/page/FBOServices	
TX	Amarillo	Rick Husband Amarillo International Airport	KAMA	 TAC Air	806-335-3551	Yes	Engine Type		piston: $5, jet: $15	piston: $5, jet: $15			0	$55 for pistons			Yes	600 gallons for largest, 10 gallons for smallest		2017-07-06		No		
TX	Abilene	Abilene Regional Airport	KABI	 Abilene Aero	325-677-2601	Yes														2017-07-05		Yes	https://drive.google.com/drive/folders/0BzxMLcBb8pFUM0o4TnNKQVUxRXM	
TX	New Braunfels	New Braunfels Regional Airport	KBAZ	City Terminal Flight Services	830-221-4290	Yes	Engine Type													2017-08-16	Unreliable Data			Dude was inaudable on the phone
TX	Kerrville	Kerrville Municipal Airport/Louis Schreiner Field	KERV	Kerrville Aviation	830-257-8840	Yes								Yes, range from $40 - $260			Yes	100 gal jet		2017-08-16	Unreliable Data			
TX	Odessa	Odessa Airport-Schlemeyer Field	KODO	Wildcatter Aviation	432-367-5881	Yes	Engine Type		Single Engine piston: $50, Twin engine piston: $75, Turboprop: $125, Light jet: $125, Midsize Jet: $250, Large Jet: $250				$125	Single Engine $75, Twin $100, Turbo $150, Light jet $150, Medium Jet $250, Large Jet $250	Lav $50		Yes	Single Engine any gal, Twin any gal, Turbo 100 gal, Light jet 100 gal, Medium Jet 250 gal, Large Jet 300 gal		2017-08-16	Good			
TX	College Station	Easterwood Field Airport	KCLL	Astin Aviation	979-775-5255	Yes	Engine Type		0	0	Single Engine piston: $12, Twin engine piston: $30, Turboprop: $60, Jet: $75	0	$100	Single Engine $30, Twin $60, Turbo $120, Jet $150	Lav $60, GPU $30 (30 min) $60 (60 min)					2017-08-22	Good			
TX	Austin	San Marcos Regional Airport	KHYI	Berry Aviation, Inc.	512-353-2379	Yes	Engine Type							Piston aircraft: $50/night, $25 w fuel purchase. Turboprop: $150/night, $100 w fuel purchase			Yes	Only waived if pilot rents airport car to drive off-site for more than two hours		2017-07-06		No		
TX	Amarillo	Tradewind Airport	KTDW	 Tradewind Airport	806-376-1008	Yes								$10 overnight fee			Yes	Any amount		2017-07-06		No		
TX	Austin	Austin Executive Airport	KEDC	Henriksen Jet Center	512-247-7678	Yes														2017-08-15				Call back later (she will be there until 10)
TX	Tyler	Tyler Pounds Regional Airport	KTYR	Jet Center of Tyler	903-597-1334	Yes	Engine Type			piston single light: $15, piston single heavy: $20, piston multi light: $25, piston multi heavy $35, heavy turboprop: $50, small jet: $60, medium jet $75, super midsize jet: $150, heavy jet $200. 			$75				Yes	Light single engine 10 g, Heavy single 20g, light twin 30g, heavy twin 60g, heavy turbo 70g, small jet 80g, medium jet 100g, large jet 175g, heavy jet 250g. 	Manager	2017-08-16	Good	No		Lavatory fee $50, GPU $35 (waived with 100 gal)
TX	Tyler	Tyler Pounds Regional Airport	KTYR	Johnson Aviation	903-593-4343	Yes	Engine Type													2017-08-16	No Real Structure			No good info, but he was very chatty and willing to test it out. 
TX	Harlingen	Valley International Airport	KHRL	Gulf Aviation, Inc.	956-423-7317	Yes	Other	Combo of engine type and s,m,l		Small: $50, Medium: $125, Large: $200	$6/day		$65/hour	Single Engine piston $50, Twin engine piston $90, Single engine Turboprop $90, King air $90, King air larger $125, Jet $150. 	Lavatory $75 ?, GPU $100 (can be waived with fuel purchase)		Yes	Small 20 gal, Medium 50 gal, Large 150 gal. (waives ramp fee, tie down, gpu fee; does not waive hangar, lav, or call out)	Rosemary	2017-08-16	Good			
TX	Cleburne	Cleburne Regional Airport	KCPT	Cleburne Regional Airport	817-641-5456	Yes	Flat Rate		0	0	$50/month	0	0							2017-08-21	Good	No		Small, city owned. FBO near by (Harrison Aviation, spinks?)
TX	Granbury	Granbury Regional Airport	KGDJ	 Granbury Regional Airport	817-579-8533	Yes	Flat Rate		0		0	0		Present. Unknown			Yes			2017-08-21		Yes		Call back and ask for Pat
TX	Mineola/Quitman	Wood County Airport	KJDD	East Texas Flying Service Inc.	903-571-0116	Yes	Flat Rate				10/night						Yes				No Real Structure			"We have an overnight parking fee but it isn't often enforced"
TX	Greenville	Majors Airport	KGVT	Greenville Aviation	903-457-2960	Yes	Flat Rate			389/year, 40/month, 5/night				250/month						8/28/2017	Unreliable Data			He didn't seem to know what I meant by call out fee
TX	Bryan	Coulter Field Airport	KCFD	City of Bryan (FBO)	979-209-5233	Yes	Flat Rate		0	0	40/month	0	150								Unreliable Data			"I think the call out fee is 150"
TX	Jasper	Jasper County Airport-Bell Field	KJAS	Bravo Aviation	409-381-8151	Yes	Engine Type		twin engine turboprop: 100, jet: 200	0	0	0	75								No Real Structure			Only charges for bigger planes
TX	Marfa	Marfa Municipal Airport	KMRF	Presidio County	432-295-3906, 832-588-8888	Yes	Weight		0 - 27000 lbs: $150, 27000 - 999999 lbs: $350	$0	$0	$0	$0	$0		Year and a half	Yes	bellow 27,000lbs takeoff 150gal, above 27,000 takeoff 350gal	Che	8/15	Good			
TX	Del Rio	Del Rio International Airport	KDRT	 Pico Aviation	830-768-0898, 830-734-3379	Yes	Weight		20000 - 30000lbs: $100, 30001 - 60000 lbs: $200, 60001 - 89999 lbs: $300, 90000 - 999999 lbs: $450	$0	$0	0 - 20000 lbs: $25, 20000 - 30000 lbs: $175, 30000 - 999999 lbs: $300	19:00 - 7:00: $75/hour				Yes	Facility fee waved 125gal under 20,000lbs, 200gal 20,000lbs to 30,000lbs, 250gal above 30,000lbs		8/25	Good			
TX	Fredericksburg	Gillespie County Airport	T82	Fredericksburg FBO	830-997-3313	Yes	Flat Rate		$0	$65	$0	$0	$65/hour	$75 per night night single engine, $85 per night twin engine, $85 turbo engine, $85 per night helicopter, $120 per night king, $140 corperate jets 		Rarely	Yes	50 gal or to top off		8/25	Good			
TX	Beaumont/Port Arthur	Jack Brooks Regional Airport	KBPT	Jack Brooks Regional Airport	409-719-4950	Yes	Engine Type				Single engine: $10/day, Jet: $40/day		0	Daily: $40 single engine, jet engine $55		Change every few months	No							
TX	Bay City	Bay City Regional Airport	KBYY	Bay City Regional Airport	979-244-5037	Yes	Engine Type			Piston: $10, turboprop: $20, jet: $30	Piston: $10, turboprop: $20, jet: $30			Piston engine $175/month, turboprop $350 month, jet $400/month			No			2017-07-06				
TX	Graham	Graham Municipal Airport	KRPH	City of Graham (FBO)	940-549-6150	Yes	Flat Rate						50							8/25/2017	Good			There are no hangars
TX	Beaumont	Beaumont Municipal Airport	KBMT	Beaumont Wings	409-866-0084	Yes	Engine Type					piston: $20, turboprop: $35, jet: $50	$50	Would not divulge			Yes	Price of fuel purchase directly subtracted from facility fee		2017-07-06				
TX	Uvalde	Garner Field Airport	KUVA	Uvalde Flight Center	830-279-0877	Yes	Other		$0	$0	$0	$0	$0				Yes	Any			Good			Has fees, but only charges people who stay a long time and don't buy fuel, rarely charge fees ever
TX	Athens	Athens Municipal Airport	F44	Dyson Aviation	903-677-0669	Yes					3 days free + $3/day									2017-07-06				
TX	Snyder	Winston Field Airport	KSNK	Winston Field	325-573-1122	Yes	Engine Type		0	0	0	0	20	single engine: 10 per night, twin engine: 20 per night						8/23/2017	Good			Hangar fee is 20 for twin engine or above, not just twin engine.
TX	Paris	Cox Field Airport	KPRX	J R Aviation	903-784-4648	Yes	Flat Rate		$0	$65	$0	$0	18:00 - 21:59: $85, 22:00 - 8:00: $100			not often, years	Yes	100 gal		8/22	Good			Hasa custosy car
TX	Alpine	Alpine-Casparis Municipal Airport	E38	City of Alpine (FBO)	432-837-5929	Yes							$50	Don't own hangers			No			2017-07-06		No		
TX	Fabens	Fabens Airport	E35	Olivas Aviation	915-764-3549	Yes	Flat Rate		$0	$10	$10/night, $35/month	$0	$0				Yes	100 gal waves per night and ramp		8/22	Good			
TX	La Grange	Fayette Regional Air Center Airport	3T5	Fayette Aero	979-242-3316	Yes	Weight		$0	0 - 9499 lbs: $0, 9500 - 16500 lbs: $50, 16501 - 20,500lbs: $150, 20000 - 999999 lbs: $300	$0	$0	$100				Yes	9,500lbs to 16,500lbs 100gal, 16,501lbs to 20,500lbs 150gal, over 20,000 300gal		8/17	Good			can get on air nav, charges extra if the piolet is an asshole
TX	Lakeway	Lakeway Airpark	3R9	Lakeway Airpark	512-261-4385	Yes	Engine Type		turboprop multi: $50, midsize jet: $50, light jet: $25, turboprop single: $25	$0	$10/night	$0	$0	$0			Yes	Topped off with fuel, first two days of tie-down are waved			Good			They listed their fees online
TX	Mc Kinney	Aero Country Airport	T31	AC Fuels, LLC	281-513-6590	Yes	Flat Rate		$0	$0	$30/month	$0	$0	$300 a month						8/17	Good			Likes to talk, websites are too confusing, very upset about ATC privitaization
TX	Robstown	Nueces County Airport	KRBO	Nueces County Airport	361-387-1700	Yes	Flat Rate		$0	$0	$0	$0	$0	$155 a month 225 a month						8/17	Good			
TX	Port Lavaca	Calhoun County Airport	KPKV	 Calhoun Air Center	361-552-1228	Yes	Flat Rate		$0	$0	$0	$0	$50	$50 a night, $125 a month t hanger						8/17	Good			full service, with tugger, soda kitchen tv restrooms, great place
TX	Fort Stockton	Fort Stockton-Pecos County Airport	KFST	Fort Stockton Aviation	432-336-9900, 432-336-9901	Yes	Flat Rate		$0	$0	$0	$0	$75	$15 per night			No			8/17	Good			rental and curtosy car 2 hour max, can land anything
TX	Sherman	Sherman Municipal Airport	KSWI	City of Sherman (FBO)	903-891-4035	Yes	Flat Rate		$0	$0	$25/month	$0	$0	$205 standard, $235 tented						8/17	Good			
TX	Coleman	Coleman Municipal Airport	KCOM	City of Coleman Municipal Airport	325-625-2293, 325-625-5114	Yes	Flat Rate		$0	$0	$0	$0	$0	$45 tent a month, $50 city a month						8/17	Good			Hangers are full
TX	Edna	Jackson County Airport	26R	Jackson County Airport	361-652-4163	Yes	Flat Rate		$0	$0	$0	$0	$0	$100 a month, $125 a month tented hanger						8/17	Good			Hangers are full
TX	Houston	Dan Jones International Airport	T51	Dan Jones International Airport	936-521-9887	Yes															Did not Answer (Will Call Again)			Has Fees, need to call back was on a tractor
TX	Friona	Benger Air Park	X54	Berger Aero Spraying	806-250-2861	Yes			$0	$0	$0	$0	$0	$10						8/17	Good			
TX	Horseshoe Bay	Horseshoe Bay Resort Airport	KDZB	 Horseshoe Bay Resort Jet Center	830-598-6386	Yes										Pretty Constant				8/17	Dope AF(Fee Sheet Received)	Yes		Informtion in Fee Sheets, Texas hsb jet center fees
TX	San Antonio	Kestrel Airpark	1T7	 Aloha Aviation Services	830-522-1885	Yes	Flat Rate		$0	$0	$10/night	$0	$0	$20 per night				Any		8/17	Good			
TX	Hamilton	Hamilton Municipal Airport	KMNZ	City of Hamilton	254-386-3939	Yes	Flat Rate		$0	$0	$2	$0	$0	$5 per night		3 years	Yes	Any		8/17	Good			
TX	Canadian	Hemphill County Airport	KHHF	Hemphill County Airport	806-679-4774	Yes	Flat Rate						$25							8/17				Call outs on weekends
TX	Seguin	Huber Airpark Civic Club LLC Airport	E70	 Veracity Aviation	830-379-9800	Yes	Flat Rate		$0	$24/night - $40/night	$0	$0	$0	$40 a night			No			8/17	Unreliable Data			
TX	Seguin	Huber Airpark Civic Club LLC Airport	E70	 SVT Aviation Maintenance, LLC	210-744-8631	Yes	Flat Rate		$0	$0	$0	$0	$150	$50-$75 a day, $200-$400 a month		Go up every year by 10%			Mike	8/17	Good			
TX	Childress	Childress Municipal Airport	KCDS	Boedeker Flying Service	940-937-8309, 325-374-0439	Yes	Flat Rate		0	0	0	0	$150				Yes	Buy fuel and call out fee goes from 150 to 50			Good			
TX	Kountze/Silsbee	Hawthorne Field Airport	45R	Hardin County Aviation	409-782-7620	Yes	Other	Commercal Non-Commercal 	$0	$0	$5/night - $15/night 	$0	$0	$0	$0		No				Unreliable Data			Doesn't charge people who are passing through
TX	Pearsall	Mc Kinley Field Airport	T30	Mc Kinley Aerial Service	830-334-7789	Yes	Weight		small: $35, medium: $75, jet: $150								Yes	She didn't know, does change by aircraft		8/16	Unreliable Data			She was very unsure about the information
TX	Ennis	Ennis Municipal Airport	F41	Hammock Aviation Services	972-875-4279	Yes	Flat Rate		$0	$50/month	$20	$0	$0	$200 a month for enclosed, $100 for open			Yes	any		8/16	Good			
TX	Albany	Albany Municipal Airport	T23	Albany Municipal Airport	325-762-3133, 325-762-0413	Yes	Other	No fees other than hanger lease and fuel purchases (not a fee)						Yearly fee of $200					Chuck, Airport manager	2017-07-06		No		
TX	Hallettsville	Hallettsville Municipal Airport	34R	Hallettsville Municipal Airport	361-798-3681	Yes	Flat Rate	0	0	0	0	0	0	large: 325/month, closed t: 150/month, open t: 100			No			8/15/2017	Good	No		No fees, they just charge for hangars
TX	Wink	Winkler County Airport	KINK	KW Aviation	432-527-3481	Yes	Flat Rate	0	0	0	$7.50/night	0	0	100/month						8/15/2017	Good			
TX	Weslaco	Mid Valley Airport	T65	Weslaco Mid Valley Aviation	956-969-0291	Yes	Flat Rate		$0	$0	$1	$0	$0	$0 (says the occupancy has been booked for 6 years so can't really even be used)		rarely	Yes	10gal	Andrew	8/15	Good	No		
TX	Kingsville	Kleberg County Airport	KIKG	Mike's Aircraft Shop	361-592-1225	Yes	Weight		twin engine: $35, turboprop: $50, small jet: $100, super heavy jet: $150	$0	$0	$0	$0	$0		Almost never, same since 2008	Yes	twin engine 50gal, turboprop 90gal, small jet 195gal, 727 and above (very large) 250gal	Judy, very nice wants to learn more	8/15	Good	No		
TX	Dallas-Fort Worth	Dallas-Fort Worth International Airport	KDFW	DFW Corporate Aviation	972-973-3700, 972-973-3701																			
TX	Houston	George Bush Intercontinental/Houston Airport	KIAH	Signature Flight Support	281-209-2673																			
TX	Houston	George Bush Intercontinental/Houston Airport	KIAH	Atlantic Aviation	281-443-3434																			
TX	Dallas	Dallas Love Field Airport	KDAL	Textar Aviation	214-654-0994																			
TX	Dallas	Dallas Love Field Airport	KDAL	Business Jet Center	214-654-1600																			
TX	Dallas	Dallas Love Field Airport	KDAL	Signature Flight Support (Terminal 3)	214-351-1872																			
TX	Dallas	Dallas Love Field Airport	KDAL	Jet Aviation	214-350-8523																			
TX	Dallas	Dallas Love Field Airport	KDAL	Signature Flight Support (Terminal 1)	214-956-1000																			
TX	Dallas	Dallas Love Field Airport	KDAL	Dalfort Fueling	214-353-7000																			
TX	Houston	William P Hobby Airport	KHOU	Wilson Air Center	713-649-8700																			
TX	Houston	William P Hobby Airport	KHOU	Million Air Houston	713-640-4000																			
TX	Houston	William P Hobby Airport	KHOU	Signature Flight Support	713-353-5300																			
TX	Houston	William P Hobby Airport	KHOU	Jet Aviation	713-358-9100																			
TX	Houston	William P Hobby Airport	KHOU	Atlantic Aviation	713-644-6431																			
TX	Austin	Austin-Bergstrom International Airport	KAUS	Atlantic Aviation	512-382-8810															2017-07-06				Will not divulge pricing structure!!!
TX	Roanoke	Northwest Regional Airport	52F	Northwest Regional Airport	817-430-1905																			
TX	Denton	Denton Enterprise Airport	KDTO	US Jet Center	866-383-2400, 940-297-6411																			
TX	San Antonio	San Antonio International Airport	KSAT	Signature Flight Support (north)	210-828-0551																			
TX	San Antonio	San Antonio International Airport	KSAT	Signature Flight Support (south)	210-625-9100																			
TX	San Antonio	San Antonio International Airport	KSAT	Skyplace FBO	210-805-3130																			
TX	San Antonio	San Antonio International Airport	KSAT	 Million Air San Antonio	210-828-8181																			
TX	Fort Worth	Fort Worth Meacham International Airport	KFTW	Texas Jet	817-624-8438																			
TX	Fort Worth	Fort Worth Meacham International Airport	KFTW	American Aero FTW - Signature Select	817-625-2366																			
TX	Fort Worth	Fort Worth Meacham International Airport	KFTW	Cornerstone Air Center	817-625-5700																			
TX	Fort Worth	Fort Worth Alliance Airport	KAFW	Alliance Aviation Services	817-890-1000																			
TX	Dallas	McKinney National Airport	KTKI	McKinney Air Center	972-547-3401, 972-984-1200																			
TX	Fort Worth	Hicks Airfield	T67	Rio Concho Aviation	817-233-1058																			
TX	Wichita Falls	Sheppard Air Force Base/Wichita Falls Municipal Airport	KSPS	Signature Flight Support	940-855-5460																			
TX	Houston	West Houston Airport	KIWS	West Houston Airport	281-492-2130																			
TX	Houston	Ellington Airport	KEFD	Signature Flight Support	281-484-6551																			
