WA	Oroville	Dorothy Scott Airport	0S7	City of Oroville (self-serve fuel)	509-476-2106														2017-07-19	Did not Answer (Will Call Again)			did not pick up but the voice mail said that he was the super entident. 
WA	Othello	Othello Municipal Airport	S70	Port of Othello	509-488-2544														2017-07-19				call would not even go through
WA	Pasco	Tri-Cities Airport	KPSC	Bergstrom Aircraft, Inc.	509-547-6271	Yes	Wingspan		0	0	0	0		55 to 400		No	no	lauren	2017-07-19	Good			super organised and friendly 
WA	Pasco	Tri-Cities Airport	KPSC	 SullinAir Jet Center	509-545-6524													Jake		No Real Structure			knows literaly nothing about airports
WA	Port Angeles	William R Fairchild International Airport	KCLM	Rite Bros. Aviation	360-452-6226	Yes	Square Footage		$11 + 1.25 per 1000 lbs	25	5/day, $68/month 			8 per day 117.1 per month for coverd area 200.86 per monthfor a small cesna  twin engine is322 per month 	they dont 	Yes	no minimum 	Christy 	2017-07-25	Good	No		the most friendly and helpful 
WA	Port Townsend	Jefferson County International Airport	0S9	Tailspin Tommy's Aircraft Repair and Flight School	360-385-1308																No		
WA	Prosser	Prosser Airport	S40	Prosser Airport - Port of Benton	509-786-2053	No			0	0	0	0	0	125 per month		No			2017-07-25	No Real Structure	No		they really didn't care at all if you stayed for like a month with no fees
WA	Pullman/Moscow	Pullman/Moscow Regional Airport	KPUW	Inter-State Aviation	509-332-6596	Yes	Weight Range			50	5/night	0- 7499 lbs: 0, 7500 - 999999 lbs: 50	60	50 per night 100 for small twin 300 for big  		Yes	50 waves facility 		2017-07-25	Good	No		nice
WA	Puyallup	Pierce County Airport - Thun Field	KPLU	Safety In Motion Flight Center	253-840-5758	Yes			0	0	5/night	0	0	totaly full and dosent know how much they are 		No			2017-07-25	Good	No		
WA	Renton	Renton Municipal Airport	KRNT	Pro-Flight Aviation	425-228-9510	Yes	Wingspan		0		"depends on air craft size"	0	$200		spring summer 		"depends on air craft size"		2017-07-25	Good	No		they are loose on the fees and make stuff up on the spot
WA	Renton	Renton Municipal Airport	KRNT	 Rainier Flight Service	425-610-6293	Yes	Engine Type		0	0	$15/night	0	0	50 but can change with engine size		No			2017-08-16	Good	No		nobody would talk to me they rerouted me 5 times
WA	Richland	Richland Airport	KRLD	 Sundance Aviation	509-946-2515, 509-947-3650	Yes	Flat Rate		0	0	$25/week	0	0	no hanger		No		Cliff	2017-08-16	Good	No		nice and really didnt care about fees at all
WA	Rosalia	Rosalia Municipal Airport	72S	Rosalia Municipal Airport	509-523-5991	Did Not/Would not answer													2017-08-16				were not in office at 10.30 on a wednesday even though they say they are on viocemail
WA	Seattle	Seattle-Tacoma International Airport	KSEA	Signature Flight Support	206-433-5481	Yes	Weight		$8.44 per 1000 lbs	heavy jet: $1500, midsize jet: $1000, light jet: $600	0	0	0	no hanger		Yes	heavy is 500 gallons medium is 400 light is 200 gallons 		2017-08-16	Good			
WA	Seattle	Boeing Field/King County International Airport	KBFI	Signature Flight Support	206-763-0350	Yes			>12500 lbs : $1.5 per 1000 lbs										2017-08-16	Good			seems like all they do is land planes and everyone else is the rest of the airport. like I just talked to the tower and they rent out the rest of the land to the other FBOs 
WA	Seattle	Boeing Field/King County International Airport	KBFI	Clay Lacy Aviation	206-762-6000	Yes	Weight	and square footage			25/day 	200-1200	0	150 to 1200 per day 		Yes	10 gallons 2day of tiedown 		2017-08-16	Good	No		they are the ones that are the hanger and facility to the airport above. they are not small potatos, they kept talking about 737s and 777s 
WA	Seattle	Boeing Field/King County International Airport	KBFI	Kenmore Aero Services	206-762-6376														2017-08-16				seemed a little too busy to talk to me and said prices just "depend"
WA	Sequim	Sequim Valley Airport	W28	Sequim Valley Airport	360-683-4444														2017-08-16				nobody is there to answer the phone they said email them they have self serve gas and tiedowns. 24 hours
WA	Shelton	Sanderson Field Airport	KSHN	Pacific Aero, LLC	360-432-8000	Yes			0	0	1 night free + $3/night 	0	1000 to nothing 	1000  to 350 per month 		No			2017-08-16	Would not Disclose			a compleat dick head.
WA	Snohomish	Harvey Field Airport	S43	Snohomish Flying Service	360-568-1541				0	0	5/night 	0	0	no		No			2017-08-16	Good			nice and simple 
WA	Spanaway	Spanaway Airport	S44	Spanaway Airport	253-847-2266																		
WA	Spokane	Spokane International Airport	KGEG	Signature Flight Support	866-755-5204																		
WA	Spokane	Felts Field Airport	KSFF	Western Aviation	509-534-7371																		
WA	Sunnyside	Sunnyside Municipal Airport	1S5	Port of Sunnyside	509-837-5206																		
WA	Tacoma	Tacoma Narrows Airport	KTIW	Tacoma Narrows Aviation	253-853-7742																		
WA	Tacoma	Tacoma Narrows Airport	KTIW	Pavco Flight Center	253-851-5577																		
WA	Toledo	Ed Carlson Memorial Field - South Lewis Co Airport	KTDO	Ed Carlson Memorial Field - South Lewis County Airport	360-864-4966, 360-269-6727	Yes																	
WA	Vancouver	Pearson Field Airport	KVUO	Aero Maintenance Flight Center	360-735-9441	Yes					49$ per month			288-491 per month									no car rentals close restaraunts FBO manned has fule has fence with police patrol usualy totaly full. 150 T hangers
WA	Walla Walla	Walla Walla Regional Airport	KALW	SullinAir Jet Center	509-222-9432																		
WA	Wenatchee	Pangborn Memorial Airport	KEAT	 Pangborn Flight Center	509-886-0233, 509-884-2494																		
WA	Wenatchee	Pangborn Memorial Airport	KEAT	 Executive Flight, Inc.	509-884-1545, 509-670-9304																		
WA	Wilbur	Wilbur Airport	2S8	Greg's Crop Care Corporation	509-647-2441																		
WA	Winthrop	Methow Valley State Airport	S52	Smokejumper Aviation	509-322-1630, 509-996-4133																		
WA	Yakima	Yakima Air Terminal/McAllister Field	KYKM	 McCormick Air Center	509-248-1680																		
WA	Yakima	Yakima Air Terminal/McAllister Field	KYKM	McAllister Museum of Aviation	509-457-4933																		
